entry,Shannon,Fisher,GBP,E2,E3,R2,R3,G1,G2,G3,Ig,Corr_MP2
176,-58.86749401,8921.172247,328.6952175,6194.51945,14156466,48.304346,49.033168,-2.97997353,2.36836164,2.7628574,0.13876788,-0.091241899
177,-58.86609975,8921.179217,328.7008546,6194.68648,14158694.3,48.3034021,49.0298883,-2.96033966,-1.13754882,2.74178433,0.13835808,-0.091881106
178,-58.86498293,8921.185698,328.7063114,6194.54828,14156652.2,48.3025341,49.0268445,-2.94028076,2.27539603,2.7253089,0.13798618,-0.09328506
179,-58.86385266,8921.192203,328.7118362,6194.44937,14155763.6,48.3016401,49.0237185,-2.9201391,2.44805838,2.69913959,0.1376017,-0.093678977
180,-58.86274912,8921.198542,328.7172677,6194.39731,14155479.3,48.3007406,49.0205855,-2.90051914,2.48969631,2.67140267,0.13721281,-0.09385616
181,-58.86166432,8921.204698,328.7226288,6194.3701,14155373.4,48.2998674,49.0175327,-2.88088561,2.500473,2.63998226,0.13683694,-0.094391431
182,-58.86058916,8921.210784,328.7279674,6194.35662,14155322.7,48.2989844,49.0144507,-2.86138378,2.49787289,2.60361721,0.136456,-0.095063453
183,-58.85953689,8921.216782,328.7332781,6194.35072,14155289.5,48.2980946,49.0113482,-2.84196096,2.4860655,2.56305385,0.13607136,-0.096094147
184,-58.8584673,8921.222622,328.7385404,6194.34878,14155261.5,48.2972213,49.0083004,-2.8226915,2.4676496,2.52165579,0.13569438,-0.096220589
185,-58.85742138,8921.228404,328.7437816,6194.34915,14155235.8,48.2963358,49.005215,-2.80350442,2.44480114,2.48397164,0.13531117,-0.096767533
186,-58.85636171,8921.234166,328.7490696,6194.35071,14155210.5,48.2954383,49.0020891,-2.78414566,2.42047021,2.45166919,0.13492239,-0.097706306
187,-58.85533065,8921.239751,328.7542437,6194.35288,14155186,48.2945547,48.9990136,-2.76518926,2.3977979,2.42460886,0.13453924,-0.098053712
188,-58.85432293,8921.245225,328.7593905,6194.35541,14155161.8,48.2936649,48.9959194,-2.74629764,2.37718714,2.40032529,0.13415279,-0.099052331
189,-58.85339317,8921.25048,328.7644637,6194.35813,14155137.5,48.2927954,48.9928793,-2.72729429,2.35831537,2.37747654,0.1337776,-0.099379655
190,-58.85238073,8921.25579,328.7695461,6194.36089,14155113.6,48.2919108,48.9898063,-2.70866013,2.3410942,2.35553398,0.13339281,-0.099974052
191,-58.85137953,8921.26099,328.7745978,6194.36368,14155089.9,48.2910254,48.9867313,-2.69012403,2.32480051,2.33415385,0.13300738,-0.100646028
192,-58.85038252,8921.266119,328.7796189,6194.36653,14155066.4,48.2901414,48.9836641,-2.67170837,2.30908732,2.31321978,0.13262202,-0.101349485
193,-58.84937338,8921.271231,328.7846874,6194.36945,14155042.6,48.2892438,48.9805516,-2.65311452,2.29346285,2.29235114,0.13223045,-0.102214907
194,-58.84860225,8921.276483,328.7897034,6194.37285,14155020.9,48.2882878,48.9772645,-2.63487394,2.27818849,2.27220539,0.13180862,-0.102815784
195,-58.84731098,8921.281145,328.7946008,6194.37523,14154996.4,48.2874797,48.9744542,-2.61705406,2.26333447,2.25236632,0.13145775,-0.103751138
196,-58.84633691,8921.285958,328.7995101,6194.37826,14154973.6,48.2865921,48.9713834,-2.59906625,2.24829471,2.23285402,0.13106906,-0.104738655
197,-58.84535858,8921.290678,328.8043871,6194.38131,14154950.9,48.28571,48.9683331,-2.58118576,2.23336157,2.21369442,0.13068258,-0.10516894
198,-58.84438431,8921.29532,328.8092356,6194.3844,14154928.3,48.2848289,48.9652885,-2.56341063,2.21862694,2.19489637,0.13029615,-0.105922339
199,-58.84340854,8921.299906,328.8140591,6194.38754,14154906,48.2839474,48.9622444,-2.54574944,2.20425897,2.17647746,0.12990906,-0.106715682
200,-58.84242135,8921.304469,328.8189285,6194.39075,14154883.4,48.2830535,48.9591599,-2.52792218,2.19028202,2.15820831,0.12951615,-0.107392858
201,-58.84144646,8921.308912,328.8236977,6194.394,14154861.5,48.2821742,48.9561278,-2.51047945,2.17748176,2.14074273,0.1291293,-0.108201541
202,-58.84048037,8921.31327,328.8284402,6194.39733,14154839.6,48.281295,48.9530981,-2.49313878,2.16604774,2.12407151,0.12874199,-0.109096334
203,-58.83951368,8921.317554,328.8331543,6194.40085,14154818,48.2804192,48.950082,-2.47589481,2.15629751,2.10885035,0.1283559,-0.11019509
204,-58.83854995,8921.321793,328.8378415,6194.40474,14154796.7,48.279545,48.9470742,-2.45877322,2.14807355,2.09635231,0.1279701,-0.110465477
205,-58.83758398,8921.325958,328.8425089,6194.4093,14154775.8,48.2786677,48.9440583,-2.44175962,2.14010918,2.08803561,0.12758241,-0.111262011
206,-58.83661247,8921.33005,328.847149,6194.41514,14154755.9,48.2777942,48.9410568,-2.42485795,2.12995171,2.08384248,0.12719606,-0.112069864
207,-58.83563308,8921.334162,328.8518385,6194.42357,14154738.6,48.2769046,48.9380028,-2.407804,2.11495923,2.08093659,0.12680209,-0.112860162
208,-58.83466849,8921.338145,328.8564302,6194.43635,14154729.4,48.2760311,48.9350066,-2.39112729,2.09398987,2.07602751,0.12641484,-0.113611908
209,-58.83368268,8921.342073,328.8610046,6194.45731,14154745.2,48.2751563,48.932008,-2.37457913,2.06415215,2.06733376,0.12602662,-0.114381907
210,-58.83273702,8921.34592,328.8655415,6194.49315,14154840.9,48.274288,48.9290339,-2.35809657,2.0188706,2.05540254,0.12564095,-0.115193754
211,-58.8317376,8921.349757,328.8700728,6194.55583,14155196.5,48.2734149,48.9260468,-2.34181417,1.92844785,2.04121572,0.12525245,-0.116668014
212,-58.83079017,8921.353464,328.8745592,6194.66715,14156399.4,48.2725505,48.9230896,-2.32552855,1.47380789,2.02587228,0.12486788,-0.11667349
213,-58.82978069,8921.357255,328.8791114,6194.64718,14156061.3,48.2716667,48.9200708,-2.30919123,1.64328167,2.01636226,0.12447384,-0.117944115
214,-58.82882047,8921.360867,328.8835617,6194.55211,14155038.1,48.2707984,48.9171054,-2.29312406,1.90690302,1.99891428,0.12408653,-0.118444986
215,-58.82782115,8921.364474,328.887992,6194.501,14154709.8,48.2699365,48.9141656,-2.27726103,1.95706436,1.97999063,0.12370156,-0.119305976
216,-58.82684673,8921.367992,328.8923935,6194.47426,14154594.4,48.2690767,48.9112343,-2.26144551,1.97101531,1.95861124,0.12331725,-0.119862449
217,-58.82585883,8921.371477,328.8967798,6194.46095,14154544.7,48.2682139,48.9082953,-2.24575397,1.97160127,1.93368966,0.12293112,-0.120578693
218,-58.82487389,8921.374911,328.9011408,6194.45503,14154515.6,48.2673548,48.9053711,-2.23015882,1.96376881,1.90498366,0.12254632,-0.121632737
219,-58.82388539,8921.378298,328.9054821,6194.45315,14154493,48.2664961,48.9024506,-2.21467019,1.95004775,1.87454877,0.12216123,-0.121848626
220,-58.82287784,8921.381685,328.9098681,6194.45346,14154472.4,48.2656261,48.8994938,-2.19905239,1.93172017,1.84557244,0.12177068,-0.122737381
221,-58.82188564,8921.384976,328.9141671,6194.45493,14154453,48.2647698,48.8965867,-2.18377827,1.91187363,1.82155169,0.1213859,-0.123444919
222,-58.82088673,8921.388226,328.9184433,6194.457,14154434,48.2639174,48.8936943,-2.16861357,1.89256715,1.80177685,0.12100247,-0.124059156
223,-58.81988289,8921.391424,328.922702,6194.45936,14154415.3,48.2630645,48.8908031,-2.1535592,1.87485677,1.78469465,0.12061844,-0.12464487
224,-58.81888526,8921.394585,328.9269372,6194.46189,14154396.8,48.2622146,48.8879241,-2.13859966,1.85879472,1.76904519,0.12023538,-0.125324788
225,-58.81787696,8921.397711,328.9311556,6194.46449,14154378.6,48.261365,48.8850487,-2.12375308,1.84405578,1.75414751,0.11985202,-0.126006671
226,-58.81686528,8921.400786,328.9353527,6194.46712,14154360.4,48.2605184,48.8821857,-2.10900794,1.83022939,1.73969184,0.11946971,-0.126860305
