,Shannon,Fisher,GBP,E2,E3,R2,R3,G1,G2,G3,Ig,Corr_MP2
1514,268.1934078,14704.78621,2432.529693,1893.89193,67409.9795,366.544502,379.869104,-177.3270296,135.7783987,493.9837453,3.28865159,-6.870606095
1515,268.1755923,14704.85974,2432.65452,1893.80949,67398.2567,366.548431,379.879805,-177.1288539,137.4768718,493.7908939,3.29093208,-6.84631592
1516,268.4683864,14705.62459,2432.474025,1893.72757,67397.0433,366.555527,379.919313,-177.8207967,138.045646,493.7909578,3.29109755,-6.883840475
1517,268.3885867,14705.24166,2432.33461,1893.55665,67386.6813,366.55629,379.910819,-177.7534611,138.4649224,493.6774996,3.29342776,-6.896797026
1518,268.2340568,14705.2263,2432.589515,1893.84981,67404.9819,366.550201,379.89328,-177.3504197,136.5622399,493.6819608,3.29018644,-6.850637274
1519,268.4601484,14705.39981,2432.312422,1893.79565,67401.2124,366.545182,379.884739,-178.0274708,137.9715535,494.090793,3.28640021,-6.915081757
1520,268.1721153,14704.77807,2432.766341,1893.87492,67399.625,366.533917,379.842573,-176.8407988,137.2268352,493.629849,3.28232254,-6.803733887
1521,268.2934317,14705.15796,2432.549133,1893.8926,67403.2894,366.551846,379.90148,-177.5099516,137.5832247,493.885901,3.29047698,-6.864022949
1522,268.4475515,14705.50977,2432.294889,1893.76184,67401.1031,366.555798,379.915621,-178.2008059,137.9610872,494.083959,3.29189585,-6.938089184
1523,268.1768788,14704.7574,2432.582914,1893.88765,67407.208,366.54516,379.869391,-177.2269311,136.362001,494.0145316,3.28926523,-6.861844469
1524,268.417673,14705.24674,2432.443214,1893.65327,67392.5114,366.53568,379.854019,-177.6784022,138.1859746,493.7155333,3.2819135,-6.887317846
1525,268.3808695,14705.10526,2432.376313,1893.66869,67393.3126,366.535218,379.846021,-177.5955275,137.9457221,493.7440163,3.28289603,-6.891176933
1526,268.1995364,14704.73669,2432.646037,1893.91624,67404.8774,366.53282,379.841998,-177.004952,136.9646299,493.6253444,3.28127439,-6.824617595
1527,268.2539143,14704.70836,2432.705623,1893.92917,67407.4825,366.527736,379.825026,-176.9809717,136.6297143,493.770415,3.27895402,-6.825699507
1528,268.3207346,14705.1088,2432.382816,1893.7846,67399.6423,366.543272,379.873064,-177.7098718,137.7800683,493.9509921,3.28646152,-6.893365473
1529,268.1780738,14704.79881,2432.657202,1893.80799,67397.3219,366.542551,379.865898,-177.1279074,137.6197617,493.6860412,3.2872187,-6.847602612
1530,268.2122954,14704.67573,2432.563561,1893.77615,67398.4944,366.539266,379.858569,-177.1025682,137.4192275,493.9095945,3.28491684,-6.841587202
1531,268.3970766,14705.35197,2432.512953,1893.78194,67398.6927,366.551261,379.897894,-177.5889974,137.6315767,493.780603,3.2904951,-6.876583695
1532,268.3878411,14705.26288,2432.328808,1893.81481,67403.4605,366.552854,379.900314,-178.0750431,137.7030082,494.2098595,3.29171484,-6.934973337
1533,268.2344617,14704.81583,2432.651566,1893.87076,67402.7694,366.533229,379.845281,-177.0440913,136.8651411,493.5050023,3.28107159,-6.82145779
1534,268.0050476,14704.21124,2432.808357,1893.81137,67397.1276,366.530401,379.82319,-176.5136109,137.1927533,493.7198524,3.28210444,-6.796502607
1535,268.5079247,14705.66273,2432.078993,1893.66944,67398.5314,366.571009,379.957452,-178.7854927,138.8397655,494.587372,3.30035275,-7.00337879
1536,268.3226464,14705.14689,2432.354541,1893.81973,67402.8028,366.547698,379.885006,-177.7891072,137.6458659,494.0553096,3.28900909,-6.901769038
1537,268.4115372,14705.63384,2432.527369,1893.83709,67403.2559,366.551449,379.905342,-177.7375831,137.762031,493.813694,3.28932758,-6.870221919
1538,268.0561678,14704.30241,2432.74473,1893.77512,67394.3322,366.529794,379.822855,-176.6346442,137.3625076,493.6752953,3.28157824,-6.809599039
1539,268.2429384,14704.69283,2432.675718,1893.81994,67400.609,366.528548,379.826833,-176.9315351,137.1219888,493.4775167,3.27945817,-6.82376177
1540,268.2940868,14704.81378,2432.428249,1893.73997,67397.0718,366.539234,379.853505,-177.5324286,137.8447674,493.9515343,3.28596636,-6.897481079
