,Shannon,Fisher,GBP,E2,E3,R2,R3,G1,G2,G3,Ig,Corr_MP2,MP2,Corr_CCSD,CCSD,Corr_CCSD(T),CCSD(T),RHF
1709,44.93996137,2757.979763,411.0181496,488.175154,41994.4639,62.6666088,67.6518562,-1.05171348,-12.55694844,64.20938058,1.46197749,-1.349876767,-457.6815012,-1.3853741,-457.7169985,-1.420592783,-457.7522172,-456.3316245
1710,44.98929429,2758.365369,411.1345226,488.171939,41987.7204,62.6549557,67.6024313,-0.89362578,-12.41204841,63.43970452,1.46457344,-1.345657299,-457.6737305,-1.3813129,-457.7093861,-1.416095098,-457.7441683,-456.3280732
1711,45.10530645,2758.740958,411.0328254,488.238153,42022.5443,62.6062356,67.5168831,-1.38536264,-11.94769181,63.81946793,1.42331973,-1.355709337,-457.6927115,-1.3901778,-457.72718,-1.426047241,-457.7630495,-456.3370022
1712,44.72083021,2755.377911,410.7512826,488.111296,41987.3963,62.5247641,67.2364009,-0.38557297,-12.60719867,65.14885891,1.3848643,-1.357007008,-457.6912241,-1.3904428,-457.7246599,-1.426757678,-457.7609748,-456.3342171
1713,44.7451393,2758.116933,410.932464,488.285442,42010.6382,62.6873327,67.7306693,-1.14866943,-12.90856633,64.49696819,1.47137174,-1.352161669,-457.6809533,-1.3869253,-457.7157169,-1.422572215,-457.7513638,-456.3287916
1714,45.10053951,2758.662083,411.1205801,488.18572,42001.2396,62.5907591,67.4181531,-0.99421214,-11.73384182,63.05550759,1.42463934,-1.349773802,-457.6791855,-1.3851963,-457.714608,-1.420345272,-457.749757,-456.3294117
1715,44.84688499,2757.165039,410.909394,488.200016,42001.0401,62.5374087,67.2678261,-0.9564452,-12.10888177,64.47868306,1.39368818,-1.354570362,-457.6735558,-1.3890699,-457.7080553,-1.425010769,-457.7439962,-456.3189854
1716,45.04555269,2758.644821,411.1078276,488.206665,42001.9289,62.6396614,67.5470602,-1.05735919,-12.27633327,63.45144537,1.45399044,-1.348557916,-457.6872983,-1.3842003,-457.7229407,-1.419194873,-457.7579352,-456.3387404
1717,44.861247,2757.938994,410.9548076,488.200737,42000.1222,62.670035,67.6902301,-1.25096261,-12.67517924,64.71141216,1.46049395,-1.35174868,-457.6703649,-1.3873098,-457.705926,-1.422911681,-457.7415279,-456.3186162
1718,44.36904419,2756.056341,410.6543017,488.253992,41999.297,62.7508681,67.9503484,-0.99574301,-13.88520959,66.66272725,1.4990408,-1.357545309,-457.6742195,-1.3913129,-457.7079871,-1.427763232,-457.7444374,-456.3166742
1719,44.52244749,2756.875281,410.7176193,488.232287,42001.366,62.5561464,67.3054426,-0.97999077,-11.75319226,64.76423184,1.4113513,-1.35274165,-457.6591701,-1.3883349,-457.6947634,-1.42421413,-457.7306426,-456.3064285
1720,44.83814199,2758.498053,410.9763639,488.258768,42007.927,62.656234,67.6238606,-1.45628316,-12.54840523,64.53082895,1.45510695,-1.351105043,-457.6960217,-1.3862259,-457.7311426,-1.421506478,-457.7664232,-456.3449167
1721,45.07780167,2757.637051,410.9389695,488.111293,41999.1811,62.8672179,68.2898298,-1.05524797,-14.09425692,65.22815235,1.56425052,-1.353444011,-457.6708811,-1.389121,-457.7065581,-1.424981124,-457.7424182,-456.3174371
1722,44.53140207,2757.733706,410.8188018,488.278651,42002.6857,62.6053337,67.4637548,-1.28289144,-11.64583596,64.70352525,1.43314948,-1.351950515,-457.6691696,-1.3873564,-457.7045754,-1.422925977,-457.740145,-456.3172191
1723,44.97900765,2759.247815,411.0408581,488.264836,42014.7577,62.4061524,66.8667591,-1.42573024,-9.51583362,62.42280293,1.33078562,-1.350800044,-457.6638714,-1.3867829,-457.6998543,-1.422146304,-457.7352177,-456.3130714
1724,44.92490353,2757.369803,410.9771101,488.124217,41985.4335,62.719147,67.8037945,-0.61514838,-13.23807533,64.22509595,1.49531341,-1.349195721,-457.6702952,-1.3849682,-457.7060678,-1.420281891,-457.7413814,-456.3210995
1725,44.59556975,2757.338525,410.8008921,488.28804,42010.3424,62.2647996,66.43504,-1.17138757,-9.23472665,63.56372077,1.25358182,-1.355315628,-457.6838667,-1.3898689,-457.71842,-1.425762164,-457.7543133,-456.3285511
1726,44.97222745,2757.9031,411.0959916,488.140559,41983.1431,62.6954359,67.6976902,-0.72482158,-12.98560104,63.82590412,1.48856255,-1.345614947,-457.678646,-1.3813062,-457.7143373,-1.416041404,-457.7490725,-456.3330311
