,Shannon,Fisher,GBP,E2,E3,R2,R3,G1,G2,G3,Ig,Corr_MP2,Corr_CCSD,Corr_CCSD(T),E(0),E(CCSD),ECCS(T)
682,184.3435164,5997.040052,1136.977727,759.0512,26904.1235,173.058238,183.31687,-87.6216791,64.04798252,217.6477175,2.58072912,-3.349333483,-3.47844667,-3.650651919,-922.9700382,-926.4484848,-926.6206901
683,184.9661276,5996.05924,1136.784875,758.783829,26895.2902,172.973787,183.086688,-87.35833402,64.53044134,217.656297,2.53183279,-3.367284448,-3.493410197,-3.668320649,-922.9474714,-926.4408816,-926.6157921
684,183.8094099,5996.513569,1136.78558,759.097762,26902.3868,173.084074,183.410631,-87.76132043,64.27287253,218.6855106,2.59136767,-3.352798063,-3.481041696,-3.653467925,-922.9544356,-926.4354773,-926.6079035
685,184.3559754,5997.313543,1137.039842,759.083559,26904.1435,173.072192,183.355698,-87.70232887,64.37680339,217.7183049,2.58906564,-3.351571341,-3.480660924,-3.653343768,-922.9438692,-926.4245301,-926.5972129
686,184.1199749,5996.824256,1136.980791,759.191394,26907.5893,173.076022,183.365385,-87.59030008,64.0653711,218.1226922,2.59168146,-3.348032918,-3.477195924,-3.649047097,-922.9559895,-926.4331854,-926.6050366
687,185.4001221,5997.358188,1137.221694,758.88192,26901.8552,172.994399,183.124792,-87.38874035,64.13589784,216.4408241,2.54695559,-3.353282246,-3.483428517,-3.656824033,-922.9412659,-926.4246944,-926.5980899
688,183.8168515,5995.744564,1136.803698,759.222467,26907.4486,173.056151,183.311819,-87.33345952,63.87920829,218.903332,2.57831118,-3.352642606,-3.480765918,-3.65279073,-922.9539557,-926.4347216,-926.6067464
689,184.4364065,5997.102892,1137.126903,759.069203,26901.2917,173.052576,183.295679,-87.44321392,64.30820861,217.3769875,2.57863987,-3.343388822,-3.474221321,-3.645428217,-922.9602197,-926.434441,-926.6056479
690,183.4349527,5997.364114,1136.862316,759.197902,26903.647,173.156112,183.628527,-88.22386914,64.66061339,218.8513468,2.63170596,-3.357314913,-3.484033502,-3.65743006,-922.9287503,-926.4127838,-926.5861804
691,185.7340486,5998.709197,1137.45491,758.81941,26898.419,173.022728,183.204393,-87.60737888,64.52529232,215.3420692,2.56474084,-3.343172123,-3.475815984,-3.6481246,-922.9560604,-926.4318764,-926.604185
692,185.1715794,5998.930836,1137.189451,758.779797,26894.7603,173.063377,183.335303,-88.15382406,65.17120971,216.1419322,2.5840906,-3.355259572,-3.48394123,-3.65810303,-922.9499907,-926.4339319,-926.6080937
693,185.3923713,5996.913838,1137.231096,758.872454,26898.9327,172.980253,183.080632,-87.12213466,64.17418032,216.3538233,2.54056174,-3.349949317,-3.480359064,-3.652983951,-922.9479663,-926.4283253,-926.6009502
694,185.4806564,5998.436806,1137.261659,758.834926,26899.8859,173.035132,183.244741,-87.78802989,64.49378906,216.0818843,2.56987869,-3.349149602,-3.480067552,-3.653180463,-922.9518208,-926.4318883,-926.6050012
695,183.8809969,5997.099432,1136.881776,759.102676,26904.1242,173.102574,183.459132,-87.87756495,63.92973199,218.2993898,2.60312097,-3.350054834,-3.478518299,-3.65088086,-922.9504992,-926.4290175,-926.60138
696,183.6583325,5996.340912,1136.89515,759.244569,26906.0219,173.076535,183.364938,-87.50110746,64.03782972,218.665672,2.59067283,-3.346508109,-3.475076363,-3.64627032,-922.9691627,-926.444239,-926.615433
697,183.5820505,5996.770798,1137.100673,759.345411,26909.2617,173.116408,183.482722,-87.49196483,63.72252527,218.4657276,2.61337482,-3.338228644,-3.468953753,-3.639051954,-922.947469,-926.4164228,-926.586521
698,185.409117,5999.087525,1137.19625,758.685431,26892.794,173.068605,183.355826,-88.22390797,65.25102958,216.0122857,2.58774898,-3.356960586,-3.486088673,-3.660993614,-922.9385659,-926.4246546,-926.5995596
699,185.158317,5997.361682,1137.099713,758.908364,26904.0624,173.015268,183.189304,-87.54004089,64.11281477,216.8176184,2.55808905,-3.351903347,-3.481773647,-3.654940714,-922.9493742,-926.4311479,-926.604315
700,184.1612812,5997.733981,1136.966932,759.153329,26909.2927,173.106861,183.470569,-88.09427042,64.01379089,218.0615673,2.60555302,-3.34758819,-3.477159205,-3.649540879,-922.9603986,-926.4375578,-926.6099395
701,183.7837197,5998.136431,1137.021633,759.161705,26904.3812,173.156975,183.620526,-88.23430544,64.44729574,218.0408343,2.63325379,-3.346967001,-3.475962231,-3.648123649,-922.94118,-926.4171422,-926.5893037
702,184.6329789,5998.804505,1137.163788,758.983441,26903.0024,173.102693,183.456555,-88.1988541,64.44835145,216.7784897,2.60561096,-3.351290244,-3.480495725,-3.653701081,-922.951128,-926.4316237,-926.6048291
703,185.0294963,5997.87962,1137.169279,758.939833,26903.6254,173.037496,183.251511,-87.72297846,64.14853297,216.7112025,2.5710021,-3.3503566,-3.480130797,-3.653136429,-922.9511278,-926.4312586,-926.6042642
704,184.6414258,5996.246986,1137.112083,759.120303,26906.7546,173.024597,183.215711,-87.09903429,63.71280446,217.5705553,2.56342028,-3.343777815,-3.475303598,-3.646592373,-922.9503263,-926.4256299,-926.5969186
705,185.263552,5998.006297,1137.07105,758.795673,26897.5006,173.033745,183.264802,-87.88519426,64.84154828,216.6359553,2.56601151,-3.359398375,-3.488162881,-3.662962499,-922.9329776,-926.4211405,-926.5959401
706,182.9573775,5995.871109,1136.817022,759.47521,26912.6105,173.122391,183.504411,-87.5311186,63.64506319,219.7109192,2.61394409,-3.345341758,-3.473834074,-3.644439796,-922.9531034,-926.4269375,-926.5975432
707,185.078598,5998.864104,1137.228374,758.893467,26899.0976,173.079978,183.384251,-88.14343258,64.70193252,216.3380749,2.59326868,-3.347588691,-3.479162662,-3.65205366,-922.9461804,-926.425343,-926.598234
708,185.2166371,5998.129446,1137.067913,758.784554,26897.446,173.021041,183.210405,-87.90488331,64.69375699,216.4165039,2.56069601,-3.357885624,-3.486151474,-3.660490905,-922.9557031,-926.4418545,-926.616194
709,184.5327569,5997.275503,1137.271191,759.04982,26900.2635,173.069266,183.338723,-87.36198369,64.28727106,217.0651195,2.58936988,-3.339013945,-3.471012675,-3.641774114,-922.9457737,-926.4167864,-926.5875478
710,184.7417493,5998.237217,1137.239177,759.014134,26901.9989,173.073911,183.360282,-87.83642028,64.3947413,216.7968331,2.58955752,-3.346572736,-3.476985605,-3.649195513,-922.9529207,-926.4299063,-926.6021162
711,184.9984699,5996.758863,1137.00124,758.900199,26899.6993,173.00741,183.169398,-87.4710292,64.37329494,217.2547791,2.55323585,-3.354850562,-3.483936541,-3.657380596,-922.9413125,-926.425249,-926.5986931
712,184.4566157,5997.938375,1136.971887,758.959944,26899.9276,173.076865,183.387245,-88.10577596,64.73685676,217.4893674,2.58813885,-3.3571848,-3.485415191,-3.65925041,-922.9473174,-926.4327326,-926.6065678
713,185.1927713,5997.730025,1137.046679,758.844428,26900.0035,173.017231,183.202981,-87.80829162,64.46195208,216.7016289,2.55783558,-3.357393712,-3.485925585,-3.660005915,-922.9621756,-926.4481012,-926.6221815
714,183.7944093,5997.534449,1137.025499,759.193139,26903.6724,173.128404,183.532916,-87.8967532,64.36968614,218.0344024,2.61851235,-3.342041527,-3.471986445,-3.64315557,-922.9566842,-926.4286707,-926.5998398
715,185.5330752,5996.823371,1137.148423,758.854095,26901.9561,172.959181,183.011596,-87.13145039,64.06193201,216.4312282,2.5291789,-3.354186709,-3.484008083,-3.657427961,-922.9392378,-926.4232458,-926.5966657
716,184.2813339,5998.827872,1137.063941,759.034013,26903.5476,173.115435,183.501334,-88.41042741,64.78533172,217.2886279,2.60996136,-3.352555425,-3.480850147,-3.654174453,-922.9579393,-926.4387895,-926.6121138
717,184.6296437,5998.930504,1137.317469,759.036248,26900.4145,173.119482,183.493135,-88.03986802,64.89752441,216.6458878,2.61596913,-3.337749956,-3.46987822,-3.641114377,-922.9564371,-926.4263153,-926.5975515
718,185.6860822,5999.2223,1137.212951,758.64465,26894.0244,173.037089,183.286921,-88.23120426,65.18396201,215.6255659,2.56755848,-3.360339603,-3.488792864,-3.664198777,-922.9437524,-926.4325453,-926.6079512
719,185.1263509,5998.424336,1137.385105,758.934876,26899.0676,173.063074,183.317724,-87.63226341,64.60006571,216.1450479,2.586847,-3.34035389,-3.472673043,-3.644238215,-922.9548278,-926.4275008,-926.599066
720,184.8562573,5997.141878,1136.899214,758.950591,26906.0712,173.012297,183.189167,-87.80105321,64.1337285,217.4299072,2.55421302,-3.366128013,-3.492457818,-3.667738184,-922.9345465,-926.4270043,-926.6022847
721,184.1239179,5996.517059,1136.795714,758.98649,26898.437,173.042467,183.289008,-87.64248025,64.53886028,218.249614,2.56842007,-3.35794231,-3.484781076,-3.658126681,-922.9622179,-926.4469989,-926.6203445
722,185.3793117,5998.155471,1137.088437,758.726574,26896.1097,173.011123,183.180009,-87.9103704,64.95729832,216.2909491,2.55652197,-3.369371459,-3.495057687,-3.671269454,-922.9209374,-926.415995,-926.5922068
723,185.5460597,5998.755469,1137.181105,758.715582,26896.7528,173.043318,183.279497,-88.08426486,64.83482789,215.990989,2.57309818,-3.359302917,-3.488118372,-3.66320032,-922.9321014,-926.4202198,-926.5953018
724,183.3575729,5994.823994,1136.69189,759.367861,26912.1898,173.051231,183.28986,-87.07159524,63.47203549,219.7660028,2.57613255,-3.350826115,-3.478424227,-3.649714946,-922.9551211,-926.4335453,-926.6048361
725,185.2906173,5996.824112,1137.161498,758.908446,26902.0969,172.983065,183.091248,-87.17234977,64.02091621,216.6813532,2.54080123,-3.349558565,-3.480111896,-3.652681599,-922.9437293,-926.4238412,-926.5964109
726,183.5146106,5995.56105,1136.510058,759.094546,26900.8535,173.063791,183.365063,-87.70719138,64.37762337,219.5042883,2.57738526,-3.365334148,-3.489736904,-3.663757821,-922.9551237,-926.4448606,-926.6188815
727,184.9415339,5999.323142,1137.290049,758.926715,26901.0595,173.094261,183.419504,-88.21115367,64.86398119,216.1784131,2.60185215,-3.346325994,-3.477042734,-3.649795929,-922.9625157,-926.4395585,-926.6123116
728,184.0736135,5997.374512,1137.020508,759.079273,26899.974,173.090677,183.417418,-87.81522006,64.57328349,217.9013958,2.59725685,-3.349749234,-3.478905878,-3.65125073,-922.9435387,-926.4224445,-926.5947894
729,184.5452027,5998.351939,1137.129083,759.003857,26901.385,173.100461,183.437994,-88.06802999,64.68359082,217.0810861,2.60578709,-3.348439626,-3.478421568,-3.651104744,-922.9528711,-926.4312926,-926.6039758
730,185.5504245,5998.519981,1137.277475,758.727793,26894.7342,173.024905,183.217129,-87.782599,64.80532249,215.7597137,2.56487047,-3.350601801,-3.480804831,-3.65425756,-922.9546676,-926.4354725,-926.6089252
731,183.5321047,5996.457014,1136.855071,759.231445,26903.9103,173.117412,183.495638,-87.67067284,64.26237102,218.9517811,2.61186659,-3.344161309,-3.474109605,-3.645120185,-922.9569145,-926.4310241,-926.6020347
732,185.8756321,6000.230476,1137.504285,758.829165,26905.1341,173.06686,183.346125,-88.31441319,64.59874557,214.941968,2.58730191,-3.349510377,-3.480957762,-3.654993791,-922.9447473,-926.4257051,-926.5997411
733,185.3461087,5998.481196,1137.058353,758.747015,26898.8525,173.043771,183.283088,-88.17359372,64.86715682,216.4328458,2.57284044,-3.363080893,-3.49087773,-3.666390543,-922.9378254,-926.4287031,-926.6042159
734,185.8686123,5998.418578,1137.152163,758.639753,26896.3326,172.99226,183.122817,-87.89891087,64.75273003,215.6883853,2.54631453,-3.365519344,-3.493265995,-3.669184371,-922.9301406,-926.4234066,-926.5993249
735,184.1563106,5997.37831,1137.022988,759.033821,26899.778,173.082499,183.385877,-87.79774718,64.60262131,217.7367466,2.59458866,-3.351335219,-3.479737705,-3.652294652,-922.9460784,-926.4258161,-926.5983731
736,184.6807998,5998.49433,1137.286794,758.996827,26900.0572,173.08672,183.397406,-87.88632304,64.67109228,216.6372739,2.59776955,-3.344417413,-3.474822358,-3.646902116,-922.9506103,-926.4254327,-926.5975124
737,183.7693691,5998.018481,1137.170187,759.190678,26901.6645,173.151878,183.590387,-87.94044647,64.53138954,217.7629278,2.63266756,-3.335950198,-3.467311823,-3.637509079,-922.962469,-926.4297808,-926.5999781
738,185.0785141,5998.692758,1137.168309,758.978746,26908.9176,173.055264,183.311004,-88.08053848,64.21935087,216.444946,2.5796489,-3.354722092,-3.483626914,-3.657618693,-922.9538777,-926.4375046,-926.6114964
739,185.0699611,5996.074098,1136.975127,758.887099,26904.0456,172.97674,183.077337,-87.15431887,63.73663513,217.4202907,2.53685347,-3.362815121,-3.490543834,-3.664838053,-922.9247083,-926.4152522,-926.5895464
740,185.4120674,5999.170405,1137.404941,758.781384,26895.0958,173.047383,183.283681,-87.92026362,64.83977919,215.4162273,2.57678416,-3.344619515,-3.47609146,-3.648588845,-922.9625006,-926.438592,-926.6110894
741,184.8309302,5996.786047,1136.866852,758.758142,26892.5324,173.003691,183.167086,-87.56463983,64.8913197,217.2141123,2.55014816,-3.365509564,-3.49171841,-3.666509866,-922.9481432,-926.4398616,-926.614653
742,185.5557119,5998.326333,1137.30156,758.810196,26901.8884,173.018479,183.198834,-87.69757459,63.98655367,215.8378972,2.56065136,-3.351822535,-3.482167171,-3.655767065,-922.9443041,-926.4264713,-926.6000712
743,184.9106596,5999.208186,1137.205912,758.92048,26903.8265,173.087868,183.41151,-88.30655517,64.01142668,216.3614741,2.59714073,-3.353219121,-3.482365299,-3.656088951,-922.9555665,-926.4379318,-926.6116554
744,185.0322056,5998.882783,1137.133284,758.902319,26903.1859,173.065743,183.349594,-88.24486376,64.69855689,216.5069119,2.58479055,-3.358666498,-3.486339953,-3.66103802,-922.9446864,-926.4310264,-926.6057244
745,184.6226432,5997.455084,1136.954609,758.95579,26902.1952,173.049176,183.298711,-87.82586167,64.4901245,217.4004223,2.57534556,-3.361044458,-3.488313178,-3.662561725,-922.9391071,-926.4274203,-926.6016689
746,185.5438024,5999.008678,1137.269908,758.718378,26894.6112,173.049012,183.291747,-88.06224852,65.03626249,215.7407556,2.57746305,-3.353233464,-3.483175944,-3.657287816,-922.9464726,-926.4296485,-926.6037604
747,184.1410146,5997.390331,1136.863549,759.00156,26899.7178,173.096145,183.443091,-88.06025806,64.63884344,218.0704189,2.59957098,-3.358544874,-3.48555248,-3.659578576,-922.930815,-926.4163675,-926.5903936
748,186.1293783,5999.9925,1137.537626,758.644299,26895.7329,173.030641,183.223959,-88.07473607,64.97146336,214.5224323,2.56955089,-3.350138155,-3.481720212,-3.655714855,-922.9503477,-926.4320679,-926.6060625
749,185.1625521,5998.73221,1137.116306,758.755156,26894.6675,173.059924,183.3384,-88.20118874,65.15215759,216.4036341,2.58036684,-3.358871674,-3.486720077,-3.661610385,-922.938379,-926.4250991,-926.5999894
750,185.1267704,5998.488665,1137.156751,758.868043,26899.9766,173.050869,183.295062,-87.996454,64.70101793,216.4639927,2.57733842,-3.352080555,-3.481673831,-3.655197383,-922.955763,-926.4374368,-926.6109604
751,184.0213329,5996.736783,1137.030589,759.209739,26906.0886,173.090611,183.41273,-87.56517146,63.96610543,218.240511,2.59826198,-3.346005697,-3.476016436,-3.647527672,-922.9427218,-926.4187382,-926.5902495
752,184.804282,5996.667157,1136.959323,758.898236,26898.01,173.028333,183.233625,-87.49422913,64.4121154,217.4965017,2.56417433,-3.353617592,-3.482661785,-3.655938831,-922.9459706,-926.4286324,-926.6019095
753,183.5463903,5996.346074,1136.723178,759.314558,26919.5786,173.10167,183.460846,-87.88296832,62.53501856,219.2766788,2.60134754,-3.356950128,-3.483747474,-3.656785357,-922.9432295,-926.426977,-926.6000149
754,184.8565734,5997.915297,1137.088768,758.913691,26900.5751,173.056839,183.317582,-87.92520193,64.65196046,217.0568277,2.5797477,-3.356065559,-3.484638597,-3.658605833,-922.9213009,-926.4059395,-926.5799067
755,184.7351477,5997.974927,1137.049881,758.864382,26896.5256,173.065966,183.345035,-87.98686474,64.87983694,217.0785636,2.58477801,-3.356038276,-3.484818995,-3.65864389,-922.9439753,-926.4287943,-926.6026192
756,185.0209132,5996.87782,1137.091333,758.873527,26898.0578,173.010896,183.182823,-87.36013714,64.26631237,216.9895109,2.55488606,-3.352711561,-3.48214425,-3.655220931,-922.9392605,-926.4214047,-926.5944814
757,184.1385975,5996.54231,1137.051957,759.142213,26902.5532,173.076986,183.368447,-87.34491931,64.09760964,218.0410413,2.5918831,-3.341065031,-3.472324395,-3.643135332,-922.9515193,-926.4238437,-926.5946546
758,185.2107001,5999.047428,1137.358988,758.909762,26900.4357,173.076586,183.361548,-87.96382978,64.65239991,215.8635304,2.59388529,-3.344294992,-3.475967933,-3.648345543,-922.9587835,-926.4347514,-926.607129
759,183.2639837,5994.107611,1136.605705,759.305787,26906.1074,173.039389,183.262127,-86.8934227,63.67097766,219.9393661,2.56912254,-3.351789714,-3.479247029,-3.650490319,-922.9470535,-926.4263005,-926.5975438
760,184.5428074,5996.828926,1136.946819,758.998015,26903.0956,173.048784,183.304756,-87.62430583,64.40262396,217.8386386,2.57477232,-3.357898295,-3.486020979,-3.659677637,-922.9361843,-926.4222053,-926.5958619
761,185.4598452,5999.362811,1137.226058,758.810118,26905.0818,173.057732,183.313979,-88.27714782,64.38029892,215.778307,2.58216809,-3.357319577,-3.486483863,-3.661261036,-922.948989,-926.4354729,-926.6102501
762,185.0351504,5998.698594,1137.217094,758.882473,26899.2979,173.074868,183.363734,-88.0511994,64.74622251,216.3511183,2.59182172,-3.351346507,-3.481006388,-3.654425281,-922.9470749,-926.4280813,-926.6015002
763,183.9140445,5998.526064,1137.246586,759.221504,26904.9799,173.170811,183.651467,-88.13794885,64.63927943,217.6422024,2.64310238,-3.336708965,-3.468304607,-3.639078179,-922.9456713,-926.4139759,-926.5847495
764,185.6732958,5999.181309,1137.309748,758.748444,26899.7171,173.035947,183.25566,-88.0686066,64.70441186,215.5385984,2.56941323,-3.351614774,-3.481941368,-3.6558862,-922.9512525,-926.4331939,-926.6071387
